utterance,intent
Where is my order,track_order
Track my shipment,track_order
Check order status,track_order
Has my parcel been dispatched,track_order
Is my package out for delivery,track_order
Track order ID 12345,track_order
Where is my courier,track_order
Shipment tracking please,track_order
Live tracking update,track_order
Has it reached my city,track_order
Current status of my parcel,track_order
When will my package arrive,track_order
Is it still in transit,track_order
Track my delivery now,track_order
Give me tracking details,track_order
Order progress update,track_order
Has it left the warehouse,track_order
Where exactly is my shipment,track_order
Delivery tracking information,track_order
Track my recent purchase,track_order
What is the current delivery status,track_order
Tell me the status of my package,track_order
I want to know where my shipment is,track_order
Track this order for me,track_order
Is my order on the way,track_order
Check my parcel progress,track_order
Track the shipment right now,track_order
Please provide tracking information,track_order
Has delivery started,track_order
Where can I track my order,track_order
Where is my order,track_order
Track my shipment,track_order
Check order status,track_order
Has my parcel been dispatched,track_order
Is my package out for delivery,track_order
Track order ID 12345,track_order
Where is my courier,track_order
Shipment tracking please,track_order
Live tracking update,track_order
Has it reached my city,track_order
Current status of my parcel,track_order
When will my package arrive,track_order
Is it still in transit,track_order
Track my delivery now,track_order
Give me tracking details,track_order
Order progress update,track_order
Has it left the warehouse,track_order
Where exactly is my shipment,track_order
Delivery tracking information,track_order
Track my recent purchase,track_order
What is the current delivery status,track_order
Tell me the status of my package,track_order
I want to know where my shipment is,track_order
Track this order for me,track_order
Is my order on the way,track_order
Check my parcel progress,track_order
Track the shipment right now,track_order
Please provide tracking information,track_order
Has delivery started,track_order
Where can I track my order,track_order
Where is my order,track_order
Track my shipment,track_order
Check order status,track_order
Has my parcel been dispatched,track_order
Is my package out for delivery,track_order
Track order ID 12345,track_order
Where is my courier,track_order
Shipment tracking please,track_order
Live tracking update,track_order
Has it reached my city,track_order
Current status of my parcel,track_order
When will my package arrive,track_order
Is it still in transit,track_order
Track my delivery now,track_order
Give me tracking details,track_order
Order progress update,track_order
Has it left the warehouse,track_order
Where exactly is my shipment,track_order
Delivery tracking information,track_order
Track my recent purchase,track_order
What is the current delivery status,track_order
Tell me the status of my package,track_order
I want to know where my shipment is,track_order
Track this order for me,track_order
Is my order on the way,track_order
Check my parcel progress,track_order
Track the shipment right now,track_order
Please provide tracking information,track_order
Has delivery started,track_order
Where can I track my order,track_order
Where is my order,track_order
Track my shipment,track_order
Check order status,track_order
Has my parcel been dispatched,track_order
Is my package out for delivery,track_order
Track order ID 12345,track_order
Where is my courier,track_order
Shipment tracking please,track_order
Live tracking update,track_order
Has it reached my city,track_order
Cancel my order,cancel_order
I want to cancel this shipment,cancel_order
Stop my delivery,cancel_order
Abort my purchase,cancel_order
Cancel immediately,cancel_order
Do not ship this order,cancel_order
I changed my mind cancel it,cancel_order
Terminate this order,cancel_order
Delete my order,cancel_order
Withdraw my order,cancel_order
Cancel before dispatch,cancel_order
Call off my shipment,cancel_order
Cancel my recent purchase,cancel_order
Please void the order,cancel_order
Cancel delivery request,cancel_order
Cancel the shipment right now,cancel_order
Stop the dispatch,cancel_order
Remove this order,cancel_order
Cancel order as soon as possible,cancel_order
I want this order cancelled,cancel_order
