utterance,intent,category,tags
I have a question about cancelling an order,cancel_order,ORDER,B
help canceling the order I have made,cancel_order,ORDER,B
I do not know how to cancel an order I have made,cancel_order,ORDER,BE
where can I cancel the last order I made?,cancel_order,ORDER,BI
I don't want the last order I made,cancel_order,ORDER,B
where could I cancel my order?,cancel_order,ORDER,BIP
I have to cancel the order I made,cancel_order,ORDER,B
how could I get information about cancelling orders?,cancel_order,ORDER,BIMP
I want information about canceling orders,cancel_order,ORDER,BM
assistance cancelling an order,cancel_order,ORDER,B
is it possible to cancel the last order?,cancel_order,ORDER,BI
could you give me information about order cancellations?,cancel_order,ORDER,BIMP
I need help with canceling the last order,cancel_order,ORDER,B
how can I cancel the last order I have made?,cancel_order,ORDER,BI
how could I find information about cancelling an order?,cancel_order,ORDER,BIP
I would like to know more about order cancellations,cancel_order,ORDER,BMP
could you help me cancel the last order I have made?,cancel_order,ORDER,BIP
I want assistance to cancel the last order,cancel_order,ORDER,B
I have a problem with cancelling the order I made,cancel_order,ORDER,B
how could I cancel the last order I made?,cancel_order,ORDER,BIP
order cancelation,cancel_order,ORDER,BK
I want assistance to cancel the order I have made,cancel_order,ORDER,B
how do I cancel the last order I have made?,cancel_order,ORDER,BI
help me cancelling my order,cancel_order,ORDER,B
I have a problem with cancelling an order I made,cancel_order,ORDER,B
I do not know how I could change my shipping address,change_shipping_address,SHIPPING_ADDRESS,BEP
I need assistance changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
can you tell me about updating the address?,change_shipping_address,SHIPPING_ADDRESS,BIL
I have errors trying to update my shipping address,change_shipping_address,SHIPPING_ADDRESS,BLM
want support changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,BLQ
i do not know how to editmy shipping address,change_shipping_address,SHIPPING_ADDRESS,BELQZ
I have issues changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,BM
assistance changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I want information about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B
I would like to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,BP
I want help changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,B
