utterance,intent
has it reached my city,ORDER_STATUS
Take this back???,ORDER_CANCELLATION
Delete my order please,ORDER_CANCELLATION
TRACK MY DELIVERY NOW,ORDER_STATUS
Where is my order???,ORDER_STATUS
Track order ID 12345 please,ORDER_STATUS
Complaint about delivery,UNKNOWN
Shipment tracking please???,ORDER_STATUS
I need help,UNKNOWN
Give me tracking details,ORDER_STATUS
stop the dispatch,ORDER_CANCELLATION
track my delivery now,ORDER_STATUS
Live tracking update please,ORDER_STATUS
Stop my package from shipping asap,ORDER_CANCELLATION
WHAT IS YOUR RETURN POLICY,UNKNOWN
WHERE IS MY ORDER,ORDER_STATUS
pls Current status of my parcel,ORDER_STATUS
PLEASE VOID THE ORDER,ORDER_CANCELLATION
Withdraw my order???,ORDER_CANCELLATION
I NO LONGER WANT THIS ORDER,ORDER_CANCELLATION
when will my package arrive,ORDER_STATUS
Terminate this package,ORDER_CANCELLATION
Stop this order asap,ORDER_CANCELLATION
LIVE TRACKING UPDATE,ORDER_STATUS
Product defective asap,UNKNOWN
I want to cancel this shipment???,ORDER_CANCELLATION
I DON'T WANT THIS ANYMORE,ORDER_CANCELLATION
pls Track my delivery now,ORDER_STATUS
Has my parcel been dispatched,ORDER_STATUS
Good morning???,UNKNOWN
Is my package out for delivery,ORDER_STATUS
ORDER PROGRESS UPDATE,ORDER_STATUS
Stop this package,ORDER_CANCELLATION
Has it left the warehouse,ORDER_STATUS
Current status of  parcel,ORDER_STATUS
pls I don’t need it anymore,ORDER_CANCELLATION
Please stop this order asap,ORDER_CANCELLATION
pls Where is my order,ORDER_STATUS
pls Stop my package from shipping,ORDER_CANCELLATION
END THIS ORDER,ORDER_CANCELLATION
Very bad service please,UNKNOWN
stop my delivery,ORDER_CANCELLATION
pls Cancel it,ORDER_CANCELLATION
cancel it,ORDER_CANCELLATION
END THIS ORDER,ORDER_CANCELLATION
end this order,ORDER_CANCELLATION
pls Has my parcel been dispatched,ORDER_STATUS
very bad service,UNKNOWN
Very bad service please,UNKNOWN
Track my shipment,ORDER_STATUS
Why is refund delayed,UNKNOWN
I need help,UNKNOWN
Remove this purchase asap,ORDER_CANCELLATION
I am unhappy with service,UNKNOWN
Where is my courier asap,ORDER_STATUS
TRACK ORDER ID 12345,ORDER_STATUS
COURIER WAS RUDE,UNKNOWN
Package damaged,UNKNOWN
cancel it,ORDER_CANCELLATION
Hello???,UNKNOWN
I changed my mind please,ORDER_CANCELLATION
Refund not received please,UNKNOWN
Very bad service please,UNKNOWN
I dont want this anymore please,ORDER_CANCELLATION
I want to cancel this shipment asap,ORDER_CANCELLATION
Hello,UNKNOWN
Stop it asap,ORDER_CANCELLATION
Complaint about delivery,UNKNOWN
Delete my order asap,ORDER_CANCELLATION
DO NOT SHIP THIS ORDER,ORDER_CANCELLATION
Has it reached  city,ORDER_STATUS
I want a refund please,UNKNOWN
Cancel delivery request???,ORDER_CANCELLATION
Hello please,UNKNOWN
I need help,UNKNOWN
Remove this purchase,ORDER_CANCELLATION
Track  recent purchase,ORDER_STATUS
pls Current status of my parcel,ORDER_STATUS
pls I am unhappy with service,UNKNOWN
Where is my order asap,ORDER_STATUS
HAS MY PARCEL BEEN DISPATCHED,ORDER_STATUS
Product defective,UNKNOWN
Give me tracking details asap,ORDER_STATUS
Has  parcel been dispatched,ORDER_STATUS
What is your return policy???,UNKNOWN
I want to cancel this shipment,ORDER_CANCELLATION
stop the dispatch,ORDER_CANCELLATION
Stop it???,ORDER_CANCELLATION
I want to cancel this shipment,ORDER_CANCELLATION
Track my shipment???,ORDER_STATUS
Cancel delivery request???,ORDER_CANCELLATION
HAS MY PARCEL BEEN DISPATCHED,ORDER_STATUS
LIVE TRACKING UPDATE,ORDER_STATUS
REMOVE THIS PURCHASE,ORDER_CANCELLATION
where is my order,ORDER_STATUS
CALL OFF MY SHIPMENT,ORDER_CANCELLATION
Call off my shipment???,ORDER_CANCELLATION
Product defective,UNKNOWN
Wrong item delivered,UNKNOWN
Wrong item delivered asap,UNKNOWN
pls Refund not received,UNKNOWN
Where exactly is  shipment,ORDER_STATUS
Why is refund delayed,UNKNOWN
pls Withdraw my order,ORDER_CANCELLATION
I NO LONGER NEED THIS,ORDER_CANCELLATION
stop it,ORDER_CANCELLATION
Wrong item delivered asap,UNKNOWN
How do I contact support???,UNKNOWN
Shipment tracking please,ORDER_STATUS
Take this back,ORDER_CANCELLATION
Hello???,UNKNOWN
pls Track order ID 12345,ORDER_STATUS
Where is my courier please,ORDER_STATUS
WHERE IS MY ORDER,ORDER_STATUS
Courier was rude,UNKNOWN
Money not credited,UNKNOWN
Order progress update,ORDER_STATUS
pls Shipment tracking please,ORDER_STATUS
Check order status please,ORDER_STATUS
Need refund details,UNKNOWN
pls Cancel my recent purchase,ORDER_CANCELLATION
Wrong item delivered???,UNKNOWN
Package damaged please,UNKNOWN
pls I no longer want this order,ORDER_CANCELLATION
I am unhappy with service???,UNKNOWN
pls How do I contact support,UNKNOWN
pls Stop this order,ORDER_CANCELLATION
LIVE TRACKING UPDATE,ORDER_STATUS
stop my delivery,ORDER_CANCELLATION
I no longer need this,ORDER_CANCELLATION
Has my parcel been dispatched???,ORDER_STATUS
PAYMENT FAILED,UNKNOWN
Very bad service,UNKNOWN
Very bad service???,UNKNOWN
Is it still in transit please,ORDER_STATUS
CANCEL MY ORDER,ORDER_CANCELLATION
WHY IS REFUND DELAYED,UNKNOWN
Is it still in transit asap,ORDER_STATUS
Take this back,ORDER_CANCELLATION
Has my parcel been dispatched please,ORDER_STATUS
Cancel order as soon as possible asap,ORDER_CANCELLATION
VERY BAD SERVICE,UNKNOWN
Is it still in transit???,ORDER_STATUS
Give me tracking details asap,ORDER_STATUS
i don’t want the package,ORDER_CANCELLATION
When will  package arrive,ORDER_STATUS
I don't need this now,ORDER_CANCELLATION
pls Why is refund delayed,UNKNOWN
Stop my package from shipping,ORDER_CANCELLATION
Wrong item delivered please,UNKNOWN
How do I contact support,UNKNOWN
Need refund details asap,UNKNOWN
Where exactly is my shipment,ORDER_STATUS
HOW DO I CONTACT SUPPORT,UNKNOWN
Why is refund delayed,UNKNOWN
pls Track my delivery now,ORDER_STATUS
pls Has my parcel been dispatched,ORDER_STATUS
I don’t want the package asap,ORDER_CANCELLATION
I no longer need this,ORDER_CANCELLATION
SHIPMENT TRACKING PLEASE,ORDER_STATUS
Check order status,ORDER_STATUS
Give me tracking details,ORDER_STATUS
HAS IT REACHED MY CITY,ORDER_STATUS
I don't need this now asap,ORDER_CANCELLATION
Delivery tracking information asap,ORDER_STATUS
I don’t need it anymore please,ORDER_CANCELLATION
Delivery was late???,UNKNOWN
Is  package out for delivery,ORDER_STATUS
