utterance,intent,category,tags
I want information about canceling orders,cancel_order,ORDER,BM
could you help me cancel the last order I have made?,cancel_order,ORDER,BIP
I have a question about cancelling an order,cancel_order,ORDER,B
help me cancelling my order,cancel_order,ORDER,B
could you give me information about order cancellations?,cancel_order,ORDER,BIMP
assistance cancelling an order,cancel_order,ORDER,B
how can I cancel the last order I have made?,cancel_order,ORDER,BI
help canceling the order I have made,cancel_order,ORDER,B
how do I cancel the last order I have made?,cancel_order,ORDER,BI
where could I cancel my order?,cancel_order,ORDER,BIP
I do not know how to cancel an order I have made,cancel_order,ORDER,BE
I need help with canceling the last order,cancel_order,ORDER,B
I would like to know more about order cancellations,cancel_order,ORDER,BMP
where can I cancel the last order I made?,cancel_order,ORDER,BI
I don't want the last order I made,cancel_order,ORDER,B
order cancelation,cancel_order,ORDER,BK
I want assistance to cancel the last order,cancel_order,ORDER,B
I want assistance to cancel the order I have made,cancel_order,ORDER,B
I have a problem with cancelling the order I made,cancel_order,ORDER,B
I have a problem with cancelling an order I made,cancel_order,ORDER,B
how could I get information about cancelling orders?,cancel_order,ORDER,BIMP
is it possible to cancel the last order?,cancel_order,ORDER,BI
how could I find information about cancelling an order?,cancel_order,ORDER,BIP
could you tell me about changing the shipping address?,change_shipping_address,SHIPPING_ADDRESS,BIP
I have a trouble trying to change the address,change_shipping_address,SHIPPING_ADDRESS,BL
I want information about a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B
I try to correct my shipping address,change_shipping_address,SHIPPING_ADDRESS,BL
want support changing the shipping address,change_shipping_address,SHIPPING_ADDRESS,BLQ
I need help to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
I would like to change the shipping address,change_shipping_address,SHIPPING_ADDRESS,BP
how could I get information about a shipping address change?,change_shipping_address,SHIPPING_ADDRESS,BIP
help with a shipping address change,change_shipping_address,SHIPPING_ADDRESS,B
I have issues changing my shipping address,change_shipping_address,SHIPPING_ADDRESS,BM
can you tell me about changing my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI
I want help trying to change my shipping address,change_shipping_address,SHIPPING_ADDRESS,B
can you help me change my shipping address?,change_shipping_address,SHIPPING_ADDRESS,BI
